university,messages,views,comments,forwards,date
СПбГУ,"Анонс мероприятия для проживающих в ПУНК 🌱 
14 октября 🎭 Приглашаем всех желающих на арт-терапевтическую встречу, на которой мы будем изготавливать Маску 🎭
На встрече мы не только познакомимся друг с другом, но и получим возможность узнать себя с помощью творчества.  
Арт-терапевтическая встреча – это явно небанальный досуг, который предполагает готовность раскрываться и довериться. Эта встреча подойдёт тем, кому интересен его внутренний психический мир, тем, кто просто хочет переключиться, или даже отдохнуть после загруженного дня. 
Встречу проводят психологи Психологической клиники: 👩‍🦳 Полина Евгеньевна (@psycholog_polina_i) и 👩‍🦰 Елена Сергеевна (@Elena_psychologist_R), которые обеспечат комфортную обстановку для безопасного и доверительного общения.
🕧 Начало встречи: 18:00 
📍 Адрес: ДКиН, 104 кабинет
⏱ Длительность встречи: 60-90 мин (в зависимости от количества участников)
❗️ Нужна предварительная запись в личные сообщения: 
👩‍🦳 : @psycholog_polina_i 
👩‍🦰  : @Elena_psychologist_R
Записывайтесь, приходите, будем ждать!",,0,,2024-10-08 16:28:57+00:00
СПбГУ,,,0,,2024-10-08 11:45:55+00:00
СПбГУ,,,0,,2024-10-08 11:45:55+00:00
СПбГУ,,,0,,2024-10-08 11:45:55+00:00
СПбГУ,,,0,,2024-10-08 11:45:55+00:00
СПбГУ,"🔔 Ежегодно 10 октября отмечается Всемирный день психического здоровья. В этот день мы хотим привлечь внимание к вопросам, связанным с психическим здоровьем и благополучием. 
 
✅ В рамках мероприятий Психологической клиники СПбГУ мы поговорим о том, когда стоит обратиться к психологу, об особенностях общения в интернет-пространстве, а также простыми словами поговорим о таких сложных темах, как агрессия и суицидальное поведение. 
 
📝 Не упустите возможность узнать больше о том, как сохранить своё психическое здоровье и благополучие! Приходите на наше мероприятие и получите ценные знания и навыки, которые помогут вам в жизни.",,0,,2024-10-08 11:45:55+00:00
СПбГУ,"РОЛЬ РОДИТЕЛЕЙ В ВЫБОРЕ ПРОФЕССИИ

На выбор профессионального пути подростка большое влияние оказывают родители. Давайте посмотрим, как типы детско-родительских отношений связаны с ситуацией выбора профессии подростком.

🍀Первый тип ""Свобода выбора""
Родители предоставляют ребенку «свободу выбора», в его решение не вмешиваются, уходя от вопросов и оставляя его наедине с проблемой. С одной стороны, такие отношения предполагают бОльшую самостоятельность в выборе профессии, но с другой - недостаток эмоциональной и информационной поддержки.

Подросток воспринимает отношения с родителями как холодные, что ведет к замкнутости и нежеланию общаться с семьей. И в момент, когда у него возникнет проблема или вопрос, связанный с выбором профессии, то он обратится за советом не к родителям, а к друзьям и сверстникам. Это может привести к бесполезной или нежелательной информации, от которой у подростка может возникнуть неуверенность в своих действиях или потерянность в огромном количестве сведений о мире профессий. Для подростка время выбора профессии и дальнейшего образования очень ответственное и эмоционально напряженное; он нуждается в поддержке близких, уверенности в том, что рядом кто-то есть, и этот кто-то всегда сможет услышать, успокоить и помочь.

🍀Второй тип ""Впереди паровоза""
Родителей сильно волнует проблема профессионального будущего ребенка, они согласны с его выбором и всячески содействуют его реализации, иногда опережая его самостоятельную активность.

В этом случае не сразу очевиден негативный аспект такого типа отношений. Вы можете удивленно спросить: ""Разве плохо активно участвовать в жизни ребенка?”. Конечно, хорошо, но только до тех пор, пока он нуждается в этом участии. При чрезмерной вовлеченности родителей возможны следующие негативные последствия:

a) Исчезновение интереса к выбранному направлению, даже если изначально он был явно выражен. В подростковом возрасте бунт против родительского мнения не редкое явление.

б) Возможен стресс из-за сильного давления со стороны родителей, боязнь не оправдать какие-то ожидания.

в) Подросток привыкает к тому, что родитель проявляет больше инициативы, и не берет ответственность на себя, не проявляя самостоятельности.

г) У подростка могут поменяться интересы, а родитель этого не заметит и будет продолжать направлять его в другую сторону, которая перестала быть актуальной.

🍀Третий тип ""Баба-Яга против, или Мы лучше знаем""
Родители не согласны с выбором ребенка в силу разных собственных причин: обычно они лично знакомы с конкретной профессией, и, независимо от предпочтений подростка, либо предлагают ее ребенку, либо препятствуют его выбору, рекомендуя какую-то другую область.

Это чревато ухудшением отношений, так как родители игнорируют желания и потребности самого подростка, навязывая свою точку зрения из «благих» побуждений. Если выбор будет навязанным, подросток может разочароваться в самой профессии и не будет получать удовлетворения от работы, из-за чего быстро наступит выгорание и последующая смена деятельности уже с самостоятельным выбором.

🍀Четвертый тип ""Активизация самоопределения""
Родители создают ребенку условия для самостоятельного и активного поиска решения, обоснованного и осознанного выбора профессии в результате такого поиска.

Особенности этой позиции заключаются в том, что право принятия решения остается за подростком, а родитель поддерживает любой его выбор, учитывая его индивидуальные особенности и сильные стороны, остается эмоционально включенным в ситуацию, дает поддержку и принятие, а также помогает понять происходящие с ребенком процессы, связанные с выбором профессии. Этот тип отношений наиболее оптимальный и требует от взрослого довольно большой работы над собой, терпения, эмпатии, а также информированности о мире профессий.",254.0,0,3.0,2024-10-07 10:45:36+00:00
СПбГУ,,,0,,2024-10-06 12:25:08+00:00
СПбГУ,,,0,,2024-10-03 22:45:06+00:00
СПбГУ,"https://vk.com/wall-49748323_1406
В Психологической клинике СПбГУ есть отделение профессионально-личностного консультирования. Если у вас есть сомнения и размышления по поводу своего карьерного развития, отправляйте заявку на консультацию. 💡",,0,,2024-10-03 12:21:43+00:00
СПбГУ,,,0,,2024-10-02 22:15:06+00:00
СПбГУ,"Анонс мероприятия для проживающих в ПУНК 🌱 

В 7 октября ждём вас на Группу Эмоциональной Поддержки.
На встрече мы коротко познакомимся друг с другом и каждый участник сможет поделиться своими актуальными сложностями, трудностями,  и получить слова поддержки. 
На Группе Поддержки мы не даем советов, не оцениваем поведение других людей и не ищем простого решения проблем. Более подробно о формате можно прочитать здесь #группаподдержки2024

🎁В безопасной обстановке в группе есть возможность высказаться и быть услышанным. 
Встречу проводят психологи Психологической клиники: 👩‍🦳 Полина Евгеньевна (@psycholog_polina_i) и 👩‍🦰 Елена Сергеевна (@Elena_psychologist_R)

🎈 Начало в 18:00
Адрес: ПУНК, 20-е общежитие, кабинет психолога. Мы встретим вас в 17:50 у турникета общежития. 
Длительность: 2 часа. Количество мест ограничено до 10 человек. 
Нужна предварительная запись в личные сообщения: @psycholog_polina_i, @Elena_psychologist_R

Записывайтесь, приходите, будем ждать!",,0,,2024-10-02 07:33:38+00:00
СПбГУ,,,0,,2024-10-02 05:29:39+00:00
СПбГУ,,,0,,2024-10-01 15:22:30+00:00
СПбГУ,,,0,,2024-10-01 13:33:37+00:00
СПбГУ,,,0,,2024-10-01 10:32:11+00:00
СПбГУ,,,0,,2024-09-30 18:45:18+00:00
СПбГУ,,,0,,2024-09-30 11:41:45+00:00
СПбГУ,,,0,,2024-09-30 11:34:25+00:00
СПбГУ,,,0,,2024-09-28 14:12:26+00:00
СПбГУ,,,0,,2024-09-27 22:45:13+00:00
СПбГУ,"👋 Еще есть возможность записаться  на игру, которая состоится в понедельник! Приходите!",,0,,2024-09-27 10:50:16+00:00
СПбГУ,,,0,,2024-09-24 17:43:23+00:00
СПбГУ,,,0,,2024-09-24 13:46:58+00:00
СПбГУ,"В понедельник 30 сентября 2024 приглашаем вас принять участие в трансформационной игре ""Дом Души Моей"" 🏠
В процессе игры вы сможете: 
🗝 посмотреть на свою жизнь со стороны;
🗝 совершить увлекательное путешествие в подсознание, выявив негативные шаблоны ума и модели поведения;
🗝 вывести себя из старых негативных закоренелых состояний на новые ресурсные состояния;
🗝 выйти из жертвенной, детской позиции, почувствовать, что именно ТЫ хозяин своей жизни.
Если у вас есть вопросы по поводу: 
🔒 самооценки и уверенности в себе;
🔒 любви и принятия себя;
🔒 личных границ;
🔒 поиска своего Я;
🔒 поиска предназначения и своих истинных ценностей, 
приходите, задайте свой сокровенный вопрос игре и она поможет найти ответ у тебя внутри. 
Встреча начнется в 18:00 по адресу ДКиН, кабинет 101. Длительность игры 2,5 часа.
⚡Количество мест ограничено!  Нужна предварительная запись в личные сообщения: @psycholog_polina_i
Записывайтесь, приходите, будем ждать!",,0,,2024-09-24 12:31:21+00:00
СПбГУ,Приглашаем на групповые мероприятия в октябре!,,0,,2024-09-23 12:19:19+00:00
СПбГУ,,,0,,2024-09-23 09:44:01+00:00
СПбГУ,,,0,,2024-09-22 16:20:34+00:00
СПбГУ,,,0,,2024-09-20 17:56:57+00:00
СПбГУ,,,0,,2024-09-20 11:48:17+00:00
СПбГУ,,,0,,2024-09-18 19:24:39+00:00
СПбГУ,"💡Анонс мероприятия онлайн 💻 

В 23 сентября ждём вас на Группу Эмоциональной Поддержки онлайн.
На встрече каждый участник сможет поделиться своими актуальными сложностями, трудностями,  и получить слова поддержки. 
На Группе Поддержки мы не даем советов, не оцениваем поведение других людей и не ищем простого решения проблем. Чем тогда полезна встреча?

🎁Люди часто недооценивают силу эмоционального присутствия других людей. В безопасной обстановке в группе появляется возможность высказаться и быть услышанным. 
Встречу проводят психологи Психологической клиники: 👩‍🦳 Полина Евгеньевна (@psycholog_polina_i) и 👩‍🦰 Елена Сергеевна (@Elena_psychologist_R)

🎈 Начало в 19:00 в приложении ЯндексТелемост. Ссылка будет выслана в начале мероприятия. 

Длительность: 2 часа. Количество мест ограничено до 10 человек. 
Нужна предварительная запись в личные сообщения: @psycholog_polina_i, @Elena_psychologist_R

Записывайтесь, приходите, будем ждать!",,0,,2024-09-18 13:45:21+00:00
СПбГУ,,,0,,2024-09-17 15:30:08+00:00
СПбГУ,,,0,,2024-09-17 11:21:46+00:00
